"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1994669466656157990","Sat Nov 29 07:27:14 +0000 2025","212","IPO $RLCO barang bagus nih Abadi Nan Jaya semesta otw ARA ","1994669466656157990","","","in","","0","4","1","https://x.com/undefined/status/1994669466656157990","1509144342480498691",
"1993172125533012464","Tue Nov 25 04:17:20 +0000 2025","16","Bersyukur masih ada yg ijo disaat ihsg merah ges https://t.co/n3M5TE1ZsF","1993172125533012464","https://pbs.twimg.com/media/G6kre7JbwAIAgFi.jpg","","in","","0","3","0","https://x.com/undefined/status/1993172125533012464","1170586096578678785",
"1993874336751735173","Thu Nov 27 02:47:40 +0000 2025","759","Akun resmi KEMENKEU bikin konten IHSG ATH Punya menteri peduli sama bursa. Terharu gw","1993874336751735173","","","in","","4","7","52","https://x.com/undefined/status/1993874336751735173","310396237",
"1992886276559917140","Mon Nov 24 09:21:29 +0000 2025","8","the mighty IHSG ATH naik 21.05% year to date sepanjang 2025 #IHSGATH $IHSG https://t.co/woPATo4ARA","1992886276559917140","https://pbs.twimg.com/media/G6gnTtmakAAZJHO.png","","in","","0","0","1","https://x.com/undefined/status/1992886276559917140","1260798424393211904",
"1992439232041026020","Sun Nov 23 03:45:05 +0000 2025","60","#BahasSaham #analisaemiten $OASA rugi tapi wte wte kan hot nih tapi wte tangsel direset kemarin cancel hehe so far masih uptrend PT Maharaksa Biru Energi Tbk. (OASA) olah sampah jual listrik https://t.co/6BgCIY012r","1992439232041026020","https://pbs.twimg.com/media/G6aQccdbMAAwF0E.png","","in","","0","0","6","https://x.com/undefined/status/1992439232041026020","1260798424393211904",
"1993958654274621737","Thu Nov 27 08:22:43 +0000 2025","2","Banking beban IHSG https://t.co/KKtzS87a1K","1993958654274621737","https://pbs.twimg.com/tweet_video_thumb/G6v20mba0AAD13-.jpg","","in","","0","0","0","https://x.com/undefined/status/1993958654274621737","1458092047592787981",
"1993475856682172733","Wed Nov 26 00:24:15 +0000 2025","58","Jawaban paling aman orang orang kalau ditanya pak saya mau invest saham kira2 yg bagus apa. Default answer ya ini $BBCA Padahal kalau beli siklus valuasi pucuk wah lama juga diajak nyelem https://t.co/sqlhsjKq0B","1993475856682172733","https://pbs.twimg.com/media/G6o_uh4bwAIZBp6.jpg","","in","","0","2","4","https://x.com/undefined/status/1993475856682172733","1260798424393211904",
"1990396446844309851","Mon Nov 17 12:27:47 +0000 2025","14","#IDXGoodNews IHSG kembali mencatat All-Time High pada Senin 17 November 2025 di level 8.416 882 melampaui rekor sebelumnya 8.394 590 pada 7 November 2025. Pencapaian ini mencerminkan sentimen positif dan meningkatnya kepercayaan investor terhadap pasar Indonesia. Kami akan https://t.co/GFiJZGDStk","1990396446844309851","https://pbs.twimg.com/media/G59PA-Na0AAEOat.jpg","","in","","1","1","5","https://x.com/undefined/status/1990396446844309851","161183813",
"1993707131376447587","Wed Nov 26 15:43:16 +0000 2025","105","superketat today uptrend mild #originalcia $SMBR $WINE $APLN $INPC bukan ajakan membeli hanya bahan diskusi like rt comment dulu kalau mau ditambah analisa lanjutannya nya hehehe https://t.co/x6ZvQc3GM6","1993707131376447587","https://pbs.twimg.com/media/G6sQN9-bMAAFfYd.jpg","","in","","0","4","8","https://x.com/undefined/status/1993707131376447587","1260798424393211904",
"1995681367213179178","Tue Dec 02 04:04:13 +0000 2025","4","@thebabayega_ @Jadidan607 lah ini sisa lho pak misal ya sisa 30% beli awal jadi berapa x awal tuh? https://t.co/Dk8C7dtMkY","1995705537452016078","https://pbs.twimg.com/media/G7IriHqbMAAkm82.jpg","thebabayega_","in","","0","1","0","https://x.com/undefined/status/1995705537452016078","1260798424393211904",
